"record_id","timestamp","road_id","road_name","district","direction","lane","speed_limit","hour","is_weekend","weather","rainfall_mm","temperature_c","visibility_m","volume","occupancy","avg_headway_s","signal_delay_s","incident","speed_kmh","congestion_level","is_congested"
"T00001","2026-05-01 06:00","R205","University Rd","学校区","Northbound","1","60","6","0","cloudy","0","29.9","2320","117","0.403","9.6","25.6","0","51","free_flow","0"
"T00002","2026-05-01 06:15","R101","Central Ave","中心区","Southbound","2","50","6","0","clear","0","23.4","3268","148","0.546","8.2","28.4","0","35","moderate","0"
"T00003","2026-05-01 06:30","R330","Commerce Blvd","商业区","Northbound","2","55","6","0","rain","10.7","27.5","1176","166","0.542","7.1","34.2","0","23","severe","1"
"T00004","2026-05-01 06:45","R101","Central Ave","中心区","Southbound","3","50","6","0","clear","0","19.1","5526","165","0.576","8.6","19.9","0","35","moderate","0"
"T00005","2026-05-01 07:00","R418","River Tunnel","隧道区","Southbound","3","70","7","0","clear","0","18","2379","223","0.738","4.7","47.7","0","31","moderate","1"
"T00006","2026-05-01 07:15","R418","River Tunnel","隧道区","Southbound","1","70","7","0","clear","0","23.3","3906","229","0.831","5.7","39.1","0","30","moderate","1"
"T00007","2026-05-01 07:30","R330","Commerce Blvd","商业区","Northbound","3","55","7","0","clear","0","22.5","3305","266","0.95","5.4","55.9","0","8","severe","1"
"T00008","2026-05-01 07:45","R330","Commerce Blvd","商业区","Westbound","3","55","7","0","clear","0","19.7","2866","252","0.818","4.1","50","0","17","severe","1"
"T00009","2026-05-01 08:00","R418","River Tunnel","隧道区","Southbound","1","70","8","0","clear","0","31.5","2775","188","0.606","6.6","42.5","0","42","free_flow","0"
"T00010","2026-05-01 08:15","R330","Commerce Blvd","商业区","Southbound","1","55","8","0","cloudy","0","26.3","2997","252","0.886","3.9","41.8","0","15","severe","1"
"T00011","2026-05-01 08:30","R330","Commerce Blvd","商业区","Southbound","3","55","8","0","clear","0","25.9","3454","266","0.911","5.4","","0","11","severe","1"
"T00012","2026-05-01 08:45","R330","Commerce Blvd","商业区","Northbound","3","55","8","0","cloudy","0","25.7","2361","247","0.856","4","45.1","1","8","severe","1"
"T00013","2026-05-01 09:00","R418","River Tunnel","隧道区","Eastbound","2","70","9","0","clear","0","31.9","5039","186","0.662","8.1","38.6","0","42","free_flow","0"
"T00014","2026-05-01 09:15","R101","Central Ave","中心区","Southbound","1","50","9","0","rain","10.5","21.9","865","226","0.83","6.5","50.3","0","8","severe","1"
"T00015","2026-05-01 09:30","R418","River Tunnel","隧道区","Northbound","3","70","9","0","clear","0","31.5","5304","250","0.815","6","39.8","0","24","severe","1"
"T00016","2026-05-01 09:45","R101","Central Ave","中心区","Westbound","2","50","9","0","rain","2.7","26.2","1568","240","0.783","5.9","47.6","0","8","severe","1"
"T00017","2026-05-01 10:00","R205","University Rd","学校区","Northbound","1","60","10","0","fog","0","22","555","139","0.461","7.9","33.2","0","34","moderate","1"
"T00018","2026-05-01 10:15","R330","Commerce Blvd","商业区","Southbound","3","55","10","0","cloudy","0","25.6","5268","182","0.622","7.5","21.3","0","33","moderate","1"
"T00019","2026-05-01 10:30","R101","Central Ave","中心区","Southbound","1","50","10","0","rain","12.8","28.7","1687","95","0.289","10.5","33.5","0","40","free_flow","0"
"T00020","2026-05-01 10:45","R418","River Tunnel","隧道区","Northbound","2","70","10","0","clear","0","28.2","2232","109","0.343","8.7","25.5","0","64","free_flow","0"
"T00021","2026-05-01 11:00","R330","Commerce Blvd","商业区","Southbound","2","55","11","0","clear","0","32.8","3557","194","0.643","6.1","15.6","0","30","moderate","1"
"T00022","2026-05-01 11:15","R101","Central Ave","中心区","Southbound","2","50","11","0","cloudy","0","24.1","5443","93","0.321","10.2","21","0","50","free_flow","0"
"T00023","2026-05-01 11:30","R101","Central Ave","中心区","Westbound","2","50","11","0","clear","0","19.1","5833","102","0.383","8.7","26.6","0","46","free_flow","0"
"T00024","2026-05-01 11:45","R418","River Tunnel","隧道区","Eastbound","2","70","11","0","clear","0","30.3","4282","112","0.446","8.4","20.3","0","54","free_flow","0"
"T00025","2026-05-01 12:00","R101","Central Ave","中心区","Westbound","1","50","12","0","rain","1.4","21.5","1497","162","0.545","8.7","38.1","0","16","severe","1"
"T00026","2026-05-01 12:15","R205","University Rd","学校区","Eastbound","2","60","12","0","clear","0","20.2","5153","118","0.432","9.4","25.1","0","44","free_flow","0"
"T00027","2026-05-01 12:30","R101","Central Ave","中心区","Westbound","3","50","12","0","clear","0","30.2","3939","160","0.528","8.3","15.6","0","32","moderate","1"
"T00028","2026-05-01 12:45","R418","River Tunnel","隧道区","Eastbound","1","70","12","0","cloudy","0","18.1","5912","135","0.426","8.1","33.8","0","53","free_flow","0"
"T00029","2026-05-01 13:00","R418","River Tunnel","隧道区","Eastbound","3","70","13","0","rain","11.8","20.9","905","129","0.462","9.4","34.2","0","50","free_flow","0"
"T00030","2026-05-01 13:15","R205","University Rd","学校区","Northbound","3","60","13","0","clear","0","20.4","5384","84","0.313","11.7","21.1","0","59","free_flow","0"
"T00031","2026-05-01 13:30","R330","Commerce Blvd","商业区","Eastbound","1","55","13","0","fog","0","28.1","539","152","0.494","7","28","0","30","moderate","1"
"T00032","2026-05-01 13:45","R101","Central Ave","中心区","Westbound","1","50","13","0","clear","0","27.7","5522","163","0.559","6.7","35.4","0","23","severe","1"
"T00033","2026-05-01 14:00","R101","Central Ave","中心区","Southbound","3","50","14","0","clear","0","19.6","5765","81","0.236","10.9","15.4","0","50","free_flow","0"
"T00034","2026-05-01 14:15","R101","Central Ave","中心区","Westbound","2","50","14","0","cloudy","0","22.2","3155","137","0.476","9.1","","0","30","moderate","1"
"T00035","2026-05-01 14:30","R418","River Tunnel","隧道区","Eastbound","2","70","14","0","clear","0","32","4816","95","0.367","10.2","17.5","1","50","free_flow","0"
"T00036","2026-05-01 14:45","R205","University Rd","学校区","Southbound","1","60","14","0","clear","0","19.5","2814","84","0.253","9.5","24.3","0","57","free_flow","0"
"T00037","2026-05-01 15:00","R101","Central Ave","中心区","Eastbound","1","50","15","0","clear","0","31.1","4242","142","0.434","8","35.4","0","30","moderate","1"
"T00038","2026-05-01 15:15","R205","University Rd","学校区","Westbound","3","60","15","0","clear","0","19.4","4728","149","0.512","9.2","22.5","0","43","free_flow","0"
"T00039","2026-05-01 15:30","R101","Central Ave","中心区","Southbound","2","50","15","0","clear","0","28.5","3163","86","0.282","10.7","25.8","0","46","free_flow","0"
"T00040","2026-05-01 15:45","R205","University Rd","学校区","Southbound","1","60","15","0","rain","5","21.3","1905","87","0.358","9.6","25","0","43","free_flow","0"
"T00041","2026-05-01 16:00","R205","University Rd","学校区","Northbound","1","60","16","0","clear","0","18.9","4070","113","0.385","9.6","17.4","0","54","free_flow","0"
